Article_No,Category,Product_Name,Material,Specifications,Application,Source_Page
5365-3000,Containers,Dipping bottle Ex                                                           Immersion cylinder,,1000                                         89 Code N4,Petrochemicals,111
5365-7500,Containers,Dipping bottle Ex                                                           Immersion cylinder,,500               75                300               3000 Code N4,Petrochemicals,111
5365-7000,Containers,Dipping bottle Ex                                                           Immersion cylinder,,1000              75                450               4300 Code N4,Petrochemicals,111
5365-1000,Containers,Dipping vessel                                                                                  Mini immersion cylinder,"AISI 304, Stainless steel, brass, stainless steel",brass                      82        2300 Code N4,,112
5365-5000,Containers,Dipping vessel                                                                                  Mini immersion cylinder,"AISI 304, Stainless steel, brass, stainless steel",50                  32                 180 Code N4,,112
5365-2000,Containers,Dipping vessel                                                                                  Mini immersion cylinder,"AISI 304, Stainless steel, brass, stainless steel",stainless steel AISI 304   82        2000 Code N4,,112
5365-6000,Containers,Target immersion cylinder                                                 AquaSampler,"FEP, PTFE",500                 75                 210 Code N4,Ultra-pure media,113
5308-0350,Containers,Target immersion cylinder                                                 AquaSampler,"FEP, PTFE",350                40                 46 Code N4,Ultra-pure media,113
5308-0700,Containers,Target immersion cylinder                                                 AquaSampler,"FEP, PTFE",700                76                 46 Code N4,Ultra-pure media,113
5308-1050,Containers,Target immersion cylinder                                                 AquaSampler,"FEP, PTFE",1050               107                46 Code N4,Ultra-pure media,113
5309-0010,Containers,Manually-operated reels                                                                                                 Lowering cables,"AISI 316L, Brass, PA, PP, PTFE, Stainless steel, stainless steel",1       Manually-operated reel PP Code N4,Flammable liquids,114
5309-0550,Containers,Manually-operated reels                                                                                                 Lowering cables,"AISI 316L, Brass, PA, PP, PTFE, Stainless steel, stainless steel",8 Stainless steel chains                               100        2.3 Code N4,Flammable liquids,114
5309-0020,Containers,Manually-operated reels                                                                                                 Lowering cables,"AISI 316L, Brass, PA, PP, PTFE, Stainless steel, stainless steel",2       Manually-operated reel PA Code N4,Flammable liquids,114
0006-5300,Containers,Manually-operated reels                                                                                                 Lowering cables,"AISI 316L, Brass, PA, PP, PTFE, Stainless steel, stainless steel",9 Snap hooks AISI 316L                                            5 Code N4,Flammable liquids,114
5309-0030,Containers,Manually-operated reels                                                                                                 Lowering cables,"AISI 316L, Brass, PA, PP, PTFE, Stainless steel, stainless steel",3       Manually-operated reel Ex with grounding cable Code N4,Flammable liquids,114
0006-5301,Containers,Manually-operated reels                                                                                                 Lowering cables,"AISI 316L, Brass, PA, PP, PTFE, Stainless steel, stainless steel",10 Brass shackle                                                  4.5 Code N4,Flammable liquids,114
5393-1120,Samplers,LiquiDispo                                                                   DispoPipette,,500           100           standard      20 Code N4,,116
5393-5500,Samplers,LiquiDispo                                                                   DispoPipette,,500            100            standard      20 Code N4,,116
5393-1121,Samplers,LiquiDispo                                                                   DispoPipette,,500           100           sterilised    20 Code N4,,116
5393-5501,Samplers,LiquiDispo                                                                   DispoPipette,,500            100            sterilised    20 Code N4,,116
5393-1130,Samplers,LiquiDispo                                                                   DispoPipette,,1000          200           standard      20 Code N4,,116
5393-5531,Samplers,LiquiDispo                                                                   DispoPipette,,1000           200            standard      20 Code N4,,116
5393-1131,Samplers,LiquiDispo                                                                   DispoPipette,,1000          200           sterilised    20 Code N4,,116
5393-5532,Samplers,LiquiDispo                                                                   DispoPipette,,1000           200            sterilised    20 Code N4,,116
5393-6620,Samplers,DispoTube                                                                    DispoLadle,,500           100           standard      20 Code N4,,117
5393-6640,Samplers,DispoTube                                                                    DispoLadle,,500               standard           20 Code N4,,117
5393-6621,Samplers,DispoTube                                                                    DispoLadle,,500           100           sterilised    20 Code N4,,117
5393-6641,Samplers,DispoTube                                                                    DispoLadle,,500               sterilised         20 Code N4,,117
5393-6630,Samplers,DispoTube                                                                    DispoLadle,,1000          200           standard      20 Code N4,,117
5393-6650,Samplers,DispoTube                                                                    DispoLadle,,1000              standard           20 Code N4,,117
5393-6631,Samplers,DispoTube                                                                    DispoLadle,,1000          200           sterilised    20 Code N4,,117
5393-6651,Samplers,DispoTube                                                                    DispoLadle,,1000              sterilised         20 Code N4,,117
5393-3320,Containers,ViscoDispo                                                                 PowderDispo,,500           100          standard     20 Code N4,,118
5393-5510,Containers,ViscoDispo                                                                 PowderDispo,,300           60            standard      20 Code N4,,118
5393-3321,Containers,ViscoDispo                                                                 PowderDispo,,500           100          sterilised   20 Code N4,,118
5393-5511,Containers,ViscoDispo                                                                 PowderDispo,,300           60            sterilised    20 Code N4,,118
5393-3330,Containers,ViscoDispo                                                                 PowderDispo,,1000          200          standard     20 Code N4,,118
5393-5522,Containers,ViscoDispo                                                                 PowderDispo,,500           100           standard      20 Code N4,,118
5393-3331,Containers,ViscoDispo                                                                 PowderDispo,,1000          200          sterilised   20 Code N4,,118
5393-5521,Containers,ViscoDispo                                                                 PowderDispo,,500           100           sterilised    20 Code N4,,118
5393-5540,Containers,DispoPicker                                                                  DispoLance,,300           60            standard      20 Code N4,,119
5393-5560,Containers,DispoPicker                                                                  DispoLance,,300                      standard     20 Code N4,,119
5393-5541,Containers,DispoPicker                                                                  DispoLance,,300           60            sterilised    20 Code N4,,119
5393-5561,Containers,DispoPicker                                                                  DispoLance,,300                      sterilised   20 Code N4,,119
5393-5550,Containers,DispoPicker                                                                  DispoLance,,500           100           standard      20 Code N4,,119
5393-5570,Containers,DispoPicker                                                                  DispoLance,,500                      standard     20 Code N4,,119
5393-5551,Containers,DispoPicker                                                                  DispoLance,,500           100           sterilised    20 Code N4,,119
5393-5571,Containers,DispoPicker                                                                  DispoLance,,500                      sterilised   20 Code N4,,119
5393-2240,Samplers,MicroDispo                                                                   MultiDispo,,500           10            standard      20 Code N4,,120
5393-4440,Samplers,MicroDispo                                                                   MultiDispo,,500           100           standard      20 Code N4,,120
5393-2241,Samplers,MicroDispo                                                                   MultiDispo,,500           10            sterilised    20 Code N4,,120
5393-4441,Samplers,MicroDispo                                                                   MultiDispo,,500           100           sterilised    20 Code N4,,120
5393-2250,Samplers,MicroDispo                                                                   MultiDispo,,1000          10            standard      20 Code N4,,120
5393-4450,Samplers,MicroDispo                                                                   MultiDispo,,1000          200           standard      20 Code N4,,120
5393-2251,Samplers,MicroDispo                                                                   MultiDispo,,1000          10            sterilised    20 Code N4,,120
5393-4451,Samplers,MicroDispo                                                                   MultiDispo,,1000          200           sterilised    20 Code N4,,120
5393-4460,Samplers,TargetDispo                                                                   ZoneDispo,,500           17            standard       20 Code N4,,121
5393-4420,Samplers,TargetDispo                                                                   ZoneDispo,,500            100           standard      20 Code N4,,121
5393-4461,Samplers,TargetDispo                                                                   ZoneDispo,,500           17            sterilised     20 Code N4,,121
5393-4421,Samplers,TargetDispo                                                                   ZoneDispo,,500            100           sterilised    20 Code N4,,121
5393-4470,Samplers,TargetDispo                                                                   ZoneDispo,,1000          17            standard       20 Code N4,,121
5393-4430,Samplers,TargetDispo                                                                   ZoneDispo,,1000           200           standard      20 Code N4,,121
5393-4471,Samplers,TargetDispo                                                                   ZoneDispo,,1000          17            sterilised     20 Code N4,,121
5393-4431,Samplers,TargetDispo                                                                   ZoneDispo,,1000           200           sterilised    20 Code N4,,121
5344-0060,Samplers,Sampling bag SteriBag | the sterilised packaging bag,,ples are guaranteed sterile.                             60            without labelling area   127 x 76    500 Code N3,,122
5344-0061,Samplers,Sampling bag SteriBag | the sterilised packaging bag,,Integrated safety: The tab-ends are sealed in plastic    60            with labelling area      127 x 76    500 Code N3,,122
5344-0180,Samplers,Sampling bag SteriBag | the sterilised packaging bag,,film to prevent skin injuries.                           150           without labelling area   178 x 76    500 Code N3,,122
5344-0181,Samplers,Sampling bag SteriBag | the sterilised packaging bag,,150           with labelling area      178 x 76    500 Code N3,,122
5344-0540,Samplers,Sampling bag SteriBag | the sterilised packaging bag,,450           without labelling area   229 x 114   500 Code N3,,122
5344-0541,Samplers,Sampling bag SteriBag | the sterilised packaging bag,,   Can be labelled                                      450           with labelling area      229 x 114   500 Code N3,,122
5344-0720,Samplers,Sampling bag SteriBag | the sterilised packaging bag,,   Save space                                           650           without labelling area   229 x 140   500 Code N3,,122
5344-0721,Samplers,Sampling bag SteriBag | the sterilised packaging bag,,650           with labelling area      229 x 140   500 Code N3,,122
5344-0810,Samplers,Sampling bag SteriBag | the sterilised packaging bag,,   With practical closure to tear-open                  800           without labelling area   305 x 114   500 Code N3,,122
5344-0811,Samplers,Sampling bag SteriBag | the sterilised packaging bag,,   Proven millions of times                             800           with labelling area      305 x 114   500 Code N3,,122
5344-1650,Samplers,Sampling bag SteriBag | the sterilised packaging bag,,1650          without labelling area   305 x 178   250 Code N3,,122
5344-1651,Samplers,Sampling bag SteriBag | the sterilised packaging bag,,1650          with labelling area      305 x 178   250 Code N3,,122
5344-0400,Samplers,SteriBag StandUp sample bag                                            Sampling bag SteriBag Blue,PE,400                229 x 114         250 Code N3,,123
5344-7008,Samplers,SteriBag StandUp sample bag                                            Sampling bag SteriBag Blue,PE,650                229 x 140           500 Code N3,,123
5344-0600,Samplers,SteriBag StandUp sample bag                                            Sampling bag SteriBag Blue,PE,600                229 x 152         250 Code N3,,123
5344-7012,Samplers,SteriBag StandUp sample bag                                            Sampling bag SteriBag Blue,PE,1650               305 x 178           250 Code N3,,123
5344-8010,Samplers,Sampling bag SteriBag Cleanroom                                         SteriBag Premium sample bag,PE,800                305 x 114          500 Code N3,,124
5344-8000,Samplers,Sampling bag SteriBag Cleanroom                                         SteriBag Premium sample bag,PE,300                200x145            100 Code N4,,124
5344-8012,Samplers,Sampling bag SteriBag Cleanroom                                         SteriBag Premium sample bag,PE,1650               305 x 178          250 Code N3,,124
5378-8003,Samplers,SteriPlast ® Kit – sterile sampling set                                 SteriPlast ® syringe,PP,Scoop & bag                     10 Code N4,,125
5325-0060,Samplers,SteriPlast ® Kit – sterile sampling set                                 SteriPlast ® syringe,PP,50                    10                1 Code N4,,125
5378-8009,Samplers,SteriPlast ® Kit – sterile sampling set                                 SteriPlast ® syringe,PP,Spatula & bag                   10 Code N4,,125
5325-0100,Samplers,SteriPlast ® Kit – sterile sampling set                                 SteriPlast ® syringe,PP,100                   10                2 Code N4,,125
5378-0001,Samplers,"SteriPlast ® and LaboPlast ®                  LaboPlast ® scoop, disposable",,mally meet the demanding and in part spe-     25                   without cover     141                10 Code N4,,126
5378-0002,Samplers,"SteriPlast ® and LaboPlast ®                  LaboPlast ® scoop, disposable",,25                   with cover        142                10 Code N4,,126
5378-0003,Samplers,"SteriPlast ® and LaboPlast ®                  LaboPlast ® scoop, disposable",,50                   without cover     160                10 Code N4,,126
5378-0004,Samplers,"SteriPlast ® and LaboPlast ®                  LaboPlast ® scoop, disposable",,and science.                                  50                   with cover        161                10 Code N4,,126
5378-0005,Samplers,"SteriPlast ® and LaboPlast ®                  LaboPlast ® scoop, disposable",,Here LaboPlast ® stands for the best qual-    100                  without cover     205                10 Code N4,,126
5378-0006,Samplers,"SteriPlast ® and LaboPlast ®                  LaboPlast ® scoop, disposable",,100                  with cover        206                10 Code N4,,126
5378-0007,Samplers,"SteriPlast ® and LaboPlast ®                  LaboPlast ® scoop, disposable",,150                  without cover     216                10 Code N4,,126
5378-0008,Samplers,"SteriPlast ® and LaboPlast ®                  LaboPlast ® scoop, disposable",,ing material properties.                      150                  with cover        218                10 Code N4,,126
5378-0013,Samplers,"SteriPlast ® and LaboPlast ®                  LaboPlast ® scoop, disposable",,250                  without cover     232                10 Code N4,,126
5378-0014,Samplers,"SteriPlast ® and LaboPlast ®                  LaboPlast ® scoop, disposable",,Test the products and get to know and         250                  with cover        235                10 Code N4,,126
5378-0015,Samplers,"SteriPlast ® and LaboPlast ®                  LaboPlast ® scoop, disposable",,500                  without cover     280                10 Code N4,,126
5378-0016,Samplers,"SteriPlast ® and LaboPlast ®                  LaboPlast ® scoop, disposable",,appreciate our LaboPlast ® product            500                  with cover        283                10 Code N4,,126
5378-0019,Samplers,"SteriPlast ® and LaboPlast ®                  LaboPlast ® scoop, disposable",,lines!                                        1000                 without cover     332                10 Code N4,,126
5378-0020,Samplers,"SteriPlast ® and LaboPlast ®                  LaboPlast ® scoop, disposable",,2000                 without cover     381                10 Code N4,,126
5378-1001,Samplers,SteriPlast ® sample scoop,,25                without cover    141              10 Code N4,,127
5378-1002,Samplers,SteriPlast ® sample scoop,,25                with cover       142              10 Code N4,,127
5378-1003,Samplers,SteriPlast ® sample scoop,,50                without cover    160              10 Code N4,,127
5378-1004,Samplers,SteriPlast ® sample scoop,,50                with cover       161              10 Code N4,,127
5378-1005,Samplers,SteriPlast ® sample scoop,,100               without cover    205              10 Code N4,,127
5378-1006,Samplers,SteriPlast ® sample scoop,,100               with cover       206              10 Code N4,,127
5378-1007,Samplers,SteriPlast ® sample scoop,,150               without cover    216              10 Code N4,,127
5378-1008,Samplers,SteriPlast ® sample scoop,,150               with cover       218              10 Code N4,,127
5378-1013,Samplers,SteriPlast ® sample scoop,,250               without cover    232              10 Code N4,,127
5378-1014,Samplers,SteriPlast ® sample scoop,,250               with cover       235              10 Code N4,,127
5378-1015,Samplers,SteriPlast ® sample scoop,,500               without cover    280              10 Code N4,,127
5378-1016,Samplers,SteriPlast ® sample scoop,,500               with cover       283              10 Code N4,,127
5378-1019,Samplers,SteriPlast ® sample scoop,,1000              without cover    332              10 Code N4,,127
5378-1020,Samplers,SteriPlast ® sample scoop,,2000              without cover    381              10 Code N4,,127
5378-5013,Containers,"Sampling scoop, long handle, disposable                                         Ladle, long handle, disposable",,390               50            standard     10 Code N4,,128
5378-5021,Containers,"Sampling scoop, long handle, disposable                                         Ladle, long handle, disposable",,365               30             standard     10 Code N4,,128
5378-5014,Containers,"Sampling scoop, long handle, disposable                                         Ladle, long handle, disposable",,390               50            sterilised   10 Code N4,,128
5378-5022,Containers,"Sampling scoop, long handle, disposable                                         Ladle, long handle, disposable",,365               30             sterilised   10 Code N4,,128
5378-5017,Containers,"Sampling scoop, long handle, disposable                                         Ladle, long handle, disposable",,415               100           standard     10 Code N4,,128
5378-5018,Containers,"Sampling scoop, long handle, disposable                                         Ladle, long handle, disposable",,415               100           sterilised   10 Code N4,,128
5378-1009,Containers,"Sample spatula white, disposable",,without sleeve    263               150                  10 Code N4,,129
5378-1010,Containers,"Sample spatula white, disposable",,with sleeve       268               150                  10 Code N4,,129
5378-1011,Containers,"Sample spoon white, disposable",,127                        2.5              100 Code N4,,130
5378-1012,Containers,"Sample spoon white, disposable",,170                        10               100 Code N4,,130
5378-5001,Containers,"Sampling spoon, long handle, disposable                                         Sampling spoon curved, long handle",,355               5             standard     10 Code N4,,131
5378-5009,Containers,"Sampling spoon, long handle, disposable                                         Sampling spoon curved, long handle",,360               10            standard     10 Code N4,,131
5378-5002,Containers,"Sampling spoon, long handle, disposable                                         Sampling spoon curved, long handle",,355               5             sterilised   10 Code N4,,131
5378-5010,Containers,"Sampling spoon, long handle, disposable                                         Sampling spoon curved, long handle",,360               10            sterilised   10 Code N4,,131
5378-5005,Containers,"Sampling spoon, long handle, disposable                                         Sampling spoon curved, long handle",,375               20            standard     10 Code N4,,131
5378-5006,Containers,"Sampling spoon, long handle, disposable                                         Sampling spoon curved, long handle",,375               20            sterilised   10 Code N4,,131
5378-4013,Containers,"Dosing spoon, white                                                                  Forceps, disposable",,"10            sterilised, packaged individually   100 Code N4",,132
5378-1040,Containers,"Dosing spoon, white                                                                  Forceps, disposable",,"pointed/angled   sterilised, packaged individually   100 Code N4",,132
5378-4014,Containers,"Dosing spoon, white                                                                  Forceps, disposable",,15            large package                       100 Code N4,,132
5378-0040,Containers,"Dosing spoon, white                                                                  Forceps, disposable",,pointed/angled   large package                       100 Code N4,,132
5378-4015,Containers,"Dosing spoon, white                                                                  Forceps, disposable",,"15            sterilised, packaged individually   100 Code N4",,132
5378-1041,Containers,"Dosing spoon, white                                                                  Forceps, disposable",,"pointed          sterilised, packaged individually   100 Code N4",,132
5378-4016,Containers,"Dosing spoon, white                                                                  Forceps, disposable",,25            large package                       100 Code N4,,132
5378-0041,Containers,"Dosing spoon, white                                                                  Forceps, disposable",,pointed          large package                       100 Code N4,,132
5378-4017,Containers,"Dosing spoon, white                                                                  Forceps, disposable",,"25            sterilised, packaged individually   100 Code N4",,132
5378-1042,Containers,"Dosing spoon, white                                                                  Forceps, disposable",,"broad tip        sterilised, packaged individually   100 Code N4",,132
5378-4018,Containers,"Dosing spoon, white                                                                  Forceps, disposable",,50            large package                       100 Code N4,,132
5378-0042,Containers,"Dosing spoon, white                                                                  Forceps, disposable",,broad tip        large package                       100 Code N4,,132
5378-4019,Containers,"Dosing spoon, white                                                                  Forceps, disposable",,"50            sterilised, packaged individually   100 Code N4",,132
5378-1035,Containers,"Scraper, white                                                         Sampling palette knife spatula white",,"sterilised, packaged individually   100 Code N4",,133
5378-1030,Containers,"Scraper, white                                                         Sampling palette knife spatula white",,200 x 80                     10 Code N4,,133
5378-6002,Containers,Disposable funnel for liquids                                               Disposable powder funnel,,100                  10                  10 Code N4,,134
5378-6006,Containers,Disposable funnel for liquids                                               Disposable powder funnel,,100                 25                 10 Code N4,,134
5379-1001,Containers,The purity of disposable products               Bio sample scoop,PE,25                             141                    10 Code N4,,135
5379-1003,Containers,The purity of disposable products               Bio sample scoop,PE,greenhouse effect                             50                             160                    10 Code N4,,135
5379-1005,Containers,The purity of disposable products               Bio sample scoop,PE, 100 % recyclable                              100                            205                    10 Code N4,,135
5379-1007,Containers,The purity of disposable products               Bio sample scoop,PE,150                            216                    10 Code N4,,135
5379-1009,Containers,"Sampling scoop, long handle, disposable                                          Bio sample spatula",PE,263                 150                  10 Code N4,,136
5379-1011,Containers,"Bio sample spoons                                                      Sampling spoon, long handle, disposable",PE,127                2.5                100 Code N4,,137
5379-0023,Containers,"Bio sample spoons                                                      Sampling spoon, long handle, disposable",PE,360               10            standard      10 Code N4,,137
5379-1012,Containers,"Bio sample spoons                                                      Sampling spoon, long handle, disposable",PE,170                10                 100 Code N4,,137
5379-1023,Containers,"Bio sample spoons                                                      Sampling spoon, long handle, disposable",PE,360               10            sterilised    10 Code N4,,137
5379-0026,Containers,"Ladle, long handle, disposable Bio                                            Sampling palette knife spatula, disposable",PE,365               30            standard     10 Code N4,,138
5379-0035,Containers,"Ladle, long handle, disposable Bio                                            Sampling palette knife spatula, disposable",PE,Large package                       100 Code N4,,138
5379-1026,Containers,"Ladle, long handle, disposable Bio                                            Sampling palette knife spatula, disposable",PE,365               30            sterilised   10 Code N4,,138
5379-1035,Containers,"Ladle, long handle, disposable Bio                                            Sampling palette knife spatula, disposable",PE,"sterilised, packaged individually   100 Code N4",,138
5379-1040,Containers,Disposable funnel for liquids Bio                                             Disposable powder funnel Bio,PE,100                  10                      10 Code N4,,139
5379-1041,Containers,Disposable funnel for liquids Bio                                             Disposable powder funnel Bio,PE,100                    25                     10 Code N4,,139
5378-3001,Containers,"Disposable sampler, blue                        Food scoop, blue",,25                         141                  10 Code N4,,140
5378-3003,Containers,"Disposable sampler, blue                        Food scoop, blue",,cording to clean room class 7                 50                         160                  10 Code N4,,140
5378-3005,Containers,"Disposable sampler, blue                        Food scoop, blue",, Complies with EU food requirements and        100                        205                  10 Code N4,,140
5378-3007,Containers,"Disposable sampler, blue                        Food scoop, blue",,150                        216                  10 Code N4,,140
5378-3013,Containers,"Disposable sampler, blue                        Food scoop, blue",,250                        232                  10 Code N4,,140
5378-3015,Containers,"Disposable sampler, blue                        Food scoop, blue",,500                        280                  10 Code N4,,140
5378-3019,Containers,"Disposable sampler, blue                        Food scoop, blue",,1000                       332                  10 Code N4,,140
5378-3020,Containers,"Disposable sampler, blue                        Food scoop, blue",,2000                       381                  10 Code N4,,140
5378-5015,Containers,"Food scoop, long handle, blue                                          Spatula for foodstuffs, blue",,390                 50               10 Code N4,,141
5378-3009,Containers,"Food scoop, long handle, blue                                          Spatula for foodstuffs, blue",,263                  150                  10 Code N4,,141
5378-5019,Containers,"Food scoop, long handle, blue                                          Spatula for foodstuffs, blue",,415                 100              10 Code N4,,141
5378-5011,Containers,"Spoon for foodstuffs, blue                                              Food spoons, long handle, blue",,360                10                  10 Code N4,,142
5378-5023,Containers,"Ladle, long handle, disposable, blue                                    Measuring spoons, blue",,365                 30                 10 Code N4,,143
5378-1050,Containers,"Single-use tweezers, blue                         Scraper for foodstuffs, blue                       Food palette knife spatula",,pointed/angled   100 Code N4,,144
5378-3030,Containers,"Single-use tweezers, blue                         Scraper for foodstuffs, blue                       Food palette knife spatula",,200 x 80          10 Code N4,,144
5378-3035,Containers,"Single-use tweezers, blue                         Scraper for foodstuffs, blue                       Food palette knife spatula",,100 Code N4,,144
5378-1051,Containers,"Single-use tweezers, blue                         Scraper for foodstuffs, blue                       Food palette knife spatula",,pointed          100 Code N4,,144
5378-1052,Containers,"Single-use tweezers, blue                         Scraper for foodstuffs, blue                       Food palette knife spatula",,broad tip        100 Code N4,,144
5378-6003,Containers,Blue disposable funnels for liquids                                         Blue disposable powder funnels,,100                  10                  10 Code N4,,145
5378-6007,Containers,Blue disposable funnels for liquids                                         Blue disposable powder funnels,,100                25                 10 Code N4,,145
5393-7000,Containers,DispoDipper,PP,50            standard     40        98            417            20 Code N4,,146
5393-7001,Containers,DispoDipper,PP,50            sterilised   40        98            417            20 Code N4,,146
5393-7010,Containers,DispoDipper,PP,100           standard     53        98            415            20 Code N4,,146
5393-7011,Containers,DispoDipper,PP,100           sterilised   53        98            415            20 Code N4,,146
5393-7020,Containers,DispoDipper,PP,250           standard     72        116           429            20 Code N4,,146
5393-7021,Containers,DispoDipper,PP,250           sterilised   72        116           429            20 Code N4,,146
5378-2001,Samplers,"Detectable disposable samplers Detectable scoops, blue",,25                         141                 10 Code N4,,147
5378-2003,Samplers,"Detectable disposable samplers Detectable scoops, blue",,50                         160                 10 Code N4,,147
5378-2005,Samplers,"Detectable disposable samplers Detectable scoops, blue",,100                        205                 10 Code N4,,147
5378-2007,Samplers,"Detectable disposable samplers Detectable scoops, blue",,150                        216                 10 Code N4,,147
5378-2013,Samplers,"Detectable disposable samplers Detectable scoops, blue",,250                        232                 10 Code N4,,147
5378-2015,Samplers,"Detectable disposable samplers Detectable scoops, blue",,500                        280                 10 Code N4,,147
5378-2019,Samplers,"Detectable disposable samplers Detectable scoops, blue",,1000                       332                 10 Code N4,,147
5378-2020,Samplers,"Detectable disposable samplers Detectable scoops, blue",,2000                       381                 10 Code N4,,147
5378-5016,Containers,"Detectable scoop, long handle, blue                                    Detectable spatula, blue",,390                 50                10 Code N4,,148
5378-2009,Containers,"Detectable scoop, long handle, blue                                    Detectable spatula, blue",,263                 150                  10 Code N4,,148
5378-5020,Containers,"Detectable scoop, long handle, blue                                    Detectable spatula, blue",,415                 100               10 Code N4,,148
5378-2012,Containers,"Detectable spoon, blue                                                   Detectable spoon, long handle, blue",,170                10                 100 Code N4,,149
5378-5012,Containers,"Detectable spoon, blue                                                   Detectable spoon, long handle, blue",,360                 10                 10 Code N4,,149
5378-5024,Containers,"Ladle, long handle, detectable                                          Detectable volumetric spoon, blue",,365                 30                10 Code N4,,150
5378-4097,Containers,"Ladle, long handle, detectable                                          Detectable volumetric spoon, blue",,25                           100 Code N4,,150
5378-4099,Containers,"Ladle, long handle, detectable                                          Detectable volumetric spoon, blue",,50                           100 Code N4,,150
5378-2035,Containers,"Palette knife spatula, detectable Detectable funnels for liquids",,100 Code N4,,151
5378-6008,Containers,"Palette knife spatula, detectable Detectable funnels for liquids",,100                          25                     10 Code N4,,151
5378-2030,Containers,"Detectable scraper, blue                                                 Stainless steel scraper","Stainless steel, stainless steel",200 x 80                     10 Code N4,,152
5386-0030,Containers,"Detectable scraper, blue                                                 Stainless steel scraper","Stainless steel, stainless steel",230                         75 Code N4,,152
5386-0035,Containers,"Detectable scraper, blue                                                 Stainless steel scraper","Stainless steel, stainless steel",270                         100 Code N4,,152
5378-1060,Containers,"Detectable forceps, sterile                                                Forceps, stainless steel","AISI 304, Stainless steel, stainless steel",pointed/angled                100 Code N4,,153
5386-0200,Containers,"Detectable forceps, sterile                                                Forceps, stainless steel","AISI 304, Stainless steel, stainless steel",105 Code N4,,153
5378-1061,Containers,"Detectable forceps, sterile                                                Forceps, stainless steel","AISI 304, Stainless steel, stainless steel",pointed                       100 Code N4,,153
5386-0202,Containers,"Detectable forceps, sterile                                                Forceps, stainless steel","AISI 304, Stainless steel, stainless steel",130 Code N4,,153
5378-1062,Containers,"Detectable forceps, sterile                                                Forceps, stainless steel","AISI 304, Stainless steel, stainless steel",broad tip                     100 Code N4,,153
5386-0204,Containers,"Detectable forceps, sterile                                                Forceps, stainless steel","AISI 304, Stainless steel, stainless steel",160 Code N4,,153
5378-0032,Containers,"Micro-spatula, disposable                                                                   Micro spatula stainless steel","AISI 304, Stainless steel, stainless steel",Large package                             100 Code N4,,154
5386-0001,Containers,"Micro-spatula, disposable                                                                   Micro spatula stainless steel","AISI 304, Stainless steel, stainless steel",170 Code N4,,154
5378-1032,Containers,"Micro-spatula, disposable                                                                   Micro spatula stainless steel","AISI 304, Stainless steel, stainless steel","sterilised, packaged individually         100 Code N4",,154
5386-0022,Containers,"Spoon spatula stainless steel                             Spoon spatula, disposable","AISI 304, Stainless steel, stainless steel",180 Code N4,,155
5378-0031,Containers,"Spoon spatula stainless steel                             Spoon spatula, disposable","AISI 304, Stainless steel, stainless steel",Large package                       100 Code N4,,155
5386-0025,Containers,"Spoon spatula stainless steel                             Spoon spatula, disposable","AISI 304, Stainless steel, stainless steel",300 Code N4,,155
5378-1031,Containers,"Spoon spatula stainless steel                             Spoon spatula, disposable","AISI 304, Stainless steel, stainless steel","sterilised, packaged individually   100 Code N4",,155
5378-4120,Containers,Dosing spoon and measuring spoon set                                    Stainless steel measuring spoons,"AISI 304, Stainless steel","white              0,5 - 50            8 Code N4",,156
5334-8000,Containers,Dosing spoon and measuring spoon set                                    Stainless steel measuring spoons,"AISI 304, Stainless steel",1.25 - 15 Code N4,,156
5378-4125,Containers,Dosing spoon and measuring spoon set                                    Stainless steel measuring spoons,"AISI 304, Stainless steel","blue               0,5 - 50            8 Code N4",,156
5320-0150,Containers,Sample-spoon                                                             Measuring scoops,"AISI 304, PP, stainless steel",150                         2 Code N4,Acids/alkalis,157
9614-0050,Containers,Sample-spoon                                                             Measuring scoops,"AISI 304, PP, stainless steel",50                           160 x 55 Code N3,Acids/alkalis,157
5320-0180,Containers,Sample-spoon                                                             Measuring scoops,"AISI 304, PP, stainless steel",180                         2 Code N4,Acids/alkalis,157
9614-0100,Containers,Sample-spoon                                                             Measuring scoops,"AISI 304, PP, stainless steel",100                          200 x 70 Code N3,Acids/alkalis,157
5320-0210,Containers,Sample-spoon                                                             Measuring scoops,"AISI 304, PP, stainless steel",210                         2 Code N4,Acids/alkalis,157
9614-0250,Containers,Sample-spoon                                                             Measuring scoops,"AISI 304, PP, stainless steel",250                          260 x 90 Code N3,Acids/alkalis,157
5320-0300,Containers,Sample-spoon                                                             Measuring scoops,"AISI 304, PP, stainless steel",300                         9 Code N4,Acids/alkalis,157
9614-0500,Containers,Sample-spoon                                                             Measuring scoops,"AISI 304, PP, stainless steel",500                          315 x 118 Code N3,Acids/alkalis,157
5320-0400,Containers,Sample-spoon                                                             Measuring scoops,"AISI 304, PP, stainless steel",400                         9 Code N4,Acids/alkalis,157
9614-1000,Containers,Sample-spoon                                                             Measuring scoops,"AISI 304, PP, stainless steel",1000                         385 x 134 Code N3,Acids/alkalis,157
5320-0500,Containers,Sample-spoon                                                             Measuring scoops,"AISI 304, PP, stainless steel",500                         9 Code N4,Acids/alkalis,157
5324-0019,Samplers,PharmaScoop                                                                                EasyScoop,"AISI 316, Stainless steel, aluminium, stainless steel",1000              110                 235               835 Code N4,,158
